subject,time,value
sub02,55,0.36587224002904456
sub02,56,0.3319822069014427
sub02,57,0.48800498328788866
sub02,58,0.36415906702815315
sub02,59,0.49369332677894257
sub02,60,0.1700411744226563
sub02,61,0.22792680026048875
sub02,62,0.06324207355455976
sub02,63,0.14844936377835247
sub02,64,0.2694982503663434
sub02,65,0.025569480745593707
sub02,66,0.17313811835891693
sub02,67,0.3675874721839362
sub02,68,0.2808420204997408
sub02,69,0.4861153738782472
sub02,70,0.12852255149494557
sub02,71,0.012030655580058646
sub02,72,0.09350464040316694
sub02,73,0.3370173690969626
sub02,74,0.251807027025215
sub02,75,0.40763902457621615
sub02,76,0.3004554139839189
sub02,77,0.14691256848274742
sub02,78,-0.02556948074559368
sub02,79,0.2027325540540821
sub02,80,0.1902319029513735
sub02,81,-0.1438410362258904
sub03,0,-0.0015037605319776642
sub03,1,0.18711604420911648
sub03,2,0.05418831516707479
sub03,3,-0.14844936377835247
sub03,4,0.20586736056087984
sub03,5,0.17778972679864774
sub03,6,-0.04514342333605019
sub03,7,0.43263228358982914
sub03,8,0.4111794560199756
sub03,9,-0.13923876836135465
sub03,10,-0.17468782072856037
sub03,11,-0.0587139925289719
sub03,12,0.057205175588872156
sub03,13,0.5871178211150869
sub03,14,0.1515250513400474
sub03,15,-0.1423062838698098
sub03,16,-0.13923876836135465
sub03,17,0.4785888824648825
sub03,18,0.03309478399236492
sub03,19,-0.45630471174161336
sub03,20,0.05117243984629857
sub03,21,-0.055696618778806176
sub03,22,-0.0075189386822702795
sub03,23,-0.009022801234587282
sub03,24,0.4729769618488569
sub03,25,0.35052618003352914
sub03,26,-0.022560217640234713
sub03,27,-0.19960167344209404
sub03,28,0.13923876836135463
sub03,29,-0.10109488000533996
sub03,30,-0.20900616208012646
sub03,31,-0.1777897267986477
sub03,32,0.4453207948018379
sub03,33,0.6275906746798248
sub03,34,0.10413418077458289
sub03,35,-0.28572512279121276
sub03,36,-0.36587224002904456
sub03,37,-0.3353371623539433
sub03,38,0.17778972679864774
sub03,39,0.07986864326794897
sub03,40,-0.1315812276387312
sub03,41,0.01503872761863887
sub03,42,-0.2263441175196906
sub03,43,0.12852255149494557
sub03,44,0.11326382464922506
sub03,45,-0.338699411795903
sub03,46,-0.28898789716892986
sub03,47,0.1515250513400474
sub03,48,0.1623127938217327
sub03,49,0.2808420204997408
sub03,50,0.40587244010625256
sub03,51,0.1715892389506481
sub03,52,0.057205175588872156
sub03,53,0.2938933324510595
sub03,54,0.4398665680701786
sub03,55,0.06475200047727013
sub03,56,-0.03309478399236498
sub03,57,0.21529602909279313
sub03,58,0.36073884359308556
sub03,59,0.3037458679907258
sub03,60,0.6586189695312756
sub03,61,0.7440385277149164
sub03,62,0.40587244010625256
sub03,63,0.07835545233170449
sub03,64,0.20116662731218524
sub03,65,0.11326382464922506
sub03,66,0.35052618003352914
sub03,67,0.3336587790912493
sub03,68,0.3053934873730231
sub03,69,0.17778972679864774
sub03,70,0.4023464539297263
sub03,71,0.08289612742137192
sub03,72,-0.0632420735545598
sub03,73,-0.02857920691997426
sub03,74,0.40763902457621615
sub03,75,0.23268162484461666
sub03,76,0.0030075278648805945
sub03,77,-0.09502180144393249
sub03,78,0.3988299396477159
sub03,79,0.1669474578034562
sub03,80,0.15306395912126622
sub03,81,0.45814536593707755
sub04,0,-0.436244054607881
sub04,1,-0.2263441175196906
sub04,2,0.3202958833959787
sub04,3,0.6081976621622465
sub04,4,0.29717126505292346
sub04,5,0.09502180144393244
sub04,6,-0.20273255405408214
sub04,7,-0.45630471174161336
sub04,8,0.21057708270269967
sub04,9,0.1607694502041151
sub04,10,0.10717539968311562
sub04,11,0.21844723531922833
sub04,12,0.4711124859045695
sub04,13,0.12241230868776685
sub04,14,0.36415906702815315
sub04,15,-0.09047159841191665
sub04,16,-0.6496414920651303
sub04,17,-0.34038330299519565
sub04,18,0.03309478399236492
sub04,19,0.0753301374437448
sub04,20,0.1607694502041151
sub04,21,0.10717539968311562
sub04,22,-0.32029588339597875
sub04,23,-0.18244896155958212
