network,subject,time,value
Central Executive,sub13,69,0.6586189695312756
Central Executive,sub13,70,-0.26304654794838955
Central Executive,sub13,71,-0.42544040470057676
Central Executive,sub13,72,-0.02556948074559368
Central Executive,sub13,73,-0.10869674659580557
Central Executive,sub13,74,0.22476254895109743
Central Executive,sub13,75,-0.0919879084449906
Central Executive,sub13,76,-0.6018235091822146
Central Executive,sub13,77,-0.2137220074134698
Central Executive,sub13,78,0.40058702063548196
Central Executive,sub13,79,0.5997084938950376
Central Executive,sub13,80,-0.07986864326794899
Central Executive,sub13,81,-0.06475200047727019
Central Executive,sub14,0,0.2646574482233925
Central Executive,sub14,1,-0.11783561244483141
Central Executive,sub14,2,-0.18867352099969628
Central Executive,sub14,3,0.4023464539297263
Central Executive,sub14,4,0.03309478399236492
Central Executive,sub14,5,-0.5403238668464053
Central Executive,sub14,6,-0.13311148064589695
Central Executive,sub14,7,-0.32029588339597875
Central Executive,sub14,8,-0.27111458524903803
Central Executive,sub14,9,-0.1731381183589169
Central Executive,sub14,10,0.06928357855932234
Central Executive,sub14,11,-0.41828982208358967
Central Executive,sub14,12,-0.07986864326794899
Central Executive,sub14,13,0.5343796627592143
Central Executive,sub14,14,0.0753301374437448
Central Executive,sub14,15,0.3336587790912493
Central Executive,sub14,16,-0.10565454683360338
Central Executive,sub14,17,0.0015037605319776612
Central Executive,sub14,18,-0.38311953228264073
Central Executive,sub14,19,-0.14077219713128683
Central Executive,sub14,20,0.11478722082225008
Central Executive,sub14,21,-0.07684261940675154
Central Executive,sub14,22,0.3319822069014427
Central Executive,sub14,23,0.3303074334445744
Central Executive,sub14,24,-0.35562361110178164
Central Executive,sub14,25,-0.32696323370333197
Central Executive,sub14,26,-0.14691256848274742
Central Executive,sub14,27,-0.4398665680701786
Central Executive,sub14,28,-0.1254662651215197
Central Executive,sub14,29,0.38833598866891017
Central Executive,sub14,30,0.05268025782891307
Central Executive,sub14,31,-0.5664969174336776
Central Executive,sub14,32,-0.0919879084449906
Central Executive,sub14,33,-0.3420690553087896
Central Executive,sub14,34,0.009022801234587277
Central Executive,sub14,35,0.08895570315820088
Central Executive,sub14,36,0.10565454683360338
Central Executive,sub14,37,0.23426885578161957
Central Executive,sub14,38,-0.22476254895109748
Central Executive,sub14,39,-0.02707428253494475
Central Executive,sub14,40,0.19491256356299164
Central Executive,sub14,41,-0.4308303821937824
Central Executive,sub14,42,0.40058702063548196
Central Executive,sub14,43,0.5726369486117965
Central Executive,sub14,44,0.2502065173467653
Central Executive,sub14,45,-0.0874402155496332
Central Executive,sub14,46,0.5304359803426314
Central Executive,sub14,47,0.38659494411674095
Central Executive,sub14,48,0.09805743946314527
Central Executive,sub14,49,-0.0015037605319776642
Central Executive,sub14,50,0.04062383613643989
Central Executive,sub14,51,-0.09350464040316696
Central Executive,sub14,52,-0.32029588339597875
Central Executive,sub14,53,0.10413418077458289
Central Executive,sub14,54,0.1902319029513735
Central Executive,sub14,55,-0.0015037605319776642
Central Executive,sub14,56,-0.3303074334445744
Central Executive,sub14,57,0.20586736056087984
Central Executive,sub14,58,0.0753301374437448
Central Executive,sub14,59,0.08289612742137192
Central Executive,sub14,60,0.04514342333605017
Central Executive,sub14,61,-0.13005158709556966
Central Executive,sub14,62,0.3020998472717245
Central Executive,sub14,63,0.6814807623608526
Central Executive,sub14,64,0.4380539596114486
Central Executive,sub14,65,-0.1041341807745829
Central Executive,sub14,66,0.006015110138271031
Central Executive,sub14,67,0.01052670459891624
Central Executive,sub14,68,0.17623835416507772
Central Executive,sub14,69,0.326963233703332
Central Executive,sub14,70,0.36415906702815315
Central Executive,sub14,71,-0.11936062262803965
Central Executive,sub14,72,-0.11478722082225012
Central Executive,sub14,73,-0.012030655580058603
Central Executive,sub14,74,0.09198790844499058
Central Executive,sub14,75,-0.05720517558887211
Central Executive,sub14,76,-0.08895570315820094
Central Executive,sub14,77,0.26788328933634287
Central Executive,sub14,78,0.2694982503663434
Central Executive,sub14,79,-0.012030655580058603
Central Executive,sub14,80,0.03610590704649422
Central Executive,sub14,81,0.20586736056087984
Central Executive,sub15,0,0.06022307653793353
Central Executive,sub15,1,0.15306395912126622
Central Executive,sub15,2,-0.18244896155958212
Central Executive,sub15,3,-0.06475200047727019
Central Executive,sub15,4,-0.09502180144393249
Central Executive,sub15,5,-0.05720517558887211
Central Executive,sub15,6,-0.4147296783425148
Central Executive,sub15,7,0.04062383613643989
Central Executive,sub15,8,-0.06626222229932432
Central Executive,sub15,9,-0.1623127938217326
Central Executive,sub15,10,-0.22002443765256235
Central Executive,sub15,11,-0.09805743946314525
Central Executive,sub15,12,0.021055742675063424
Central Executive,sub15,13,0.027074282534944823
Central Executive,sub15,14,0.26143698114108266
Central Executive,sub15,15,-0.1254662651215197
Central Executive,sub15,16,-0.13464235365603244
Central Executive,sub15,17,0.021055742675063424
Central Executive,sub15,18,-0.9020472136930031
Central Executive,sub15,19,0.15306395912126622
Central Executive,sub15,20,0.10869674659580555
Central Executive,sub15,21,-0.1576850319914738
Central Executive,sub15,22,0.006015110138271031
Central Executive,sub15,23,-0.1423062838698098
Central Executive,sub15,24,0.0421301718088699
Central Executive,sub15,25,-0.0919879084449906
Central Executive,sub15,26,-0.1041341807745829
Central Executive,sub15,27,0.05569661877880616
Central Executive,sub15,28,-0.1855594642417339
Central Executive,sub15,29,-0.27273230419458966
Central Executive,sub15,30,0.03008426073322635
Central Executive,sub15,31,0.4599889287314819
Central Executive,sub15,32,-0.004511308799818765
Central Executive,sub15,33,0.009022801234587277
Central Executive,sub15,34,0.21214902822062826
Central Executive,sub15,35,0.10869674659580555
Central Executive,sub15,36,-0.09047159841191665
