network,subject,time,value
Hippocampus,sub15,71,-0.02501599190021183
Hippocampus,sub15,72,0.09678473438790229
Hippocampus,sub15,73,0.032694886315810204
Hippocampus,sub15,74,-0.174340440441582
Hippocampus,sub15,75,0.005042601478237846
Hippocampus,sub15,76,0.11362938925347148
Hippocampus,sub15,77,0.18254289432945003
Hippocampus,sub15,78,0.015476991892913622
Hippocampus,sub15,79,0.21591418428870846
Hippocampus,sub15,80,-0.04660737139411308
Hippocampus,sub15,81,-0.022928443515521403
Thalamus,sub01,0,-0.060461202441891
Thalamus,sub01,1,-0.17938646308168543
Thalamus,sub01,2,0.008670047199260813
Thalamus,sub01,3,-0.17826441680341878
Thalamus,sub01,4,-0.11640518824322439
Thalamus,sub01,5,0.25872882517664986
Thalamus,sub01,6,0.1033221656698113
Thalamus,sub01,7,0.12397010096053014
Thalamus,sub01,8,0.027756285373847445
Thalamus,sub01,9,-0.008737611015979677
Thalamus,sub01,10,0.18417435147896102
Thalamus,sub01,11,-0.27443466944695655
Thalamus,sub01,12,-0.31311362854823976
Thalamus,sub01,13,-0.18697615257258812
Thalamus,sub01,14,-0.0793860809389052
Thalamus,sub01,15,0.026895961188178365
Thalamus,sub01,16,0.2829693673451771
Thalamus,sub01,17,0.09150598128328653
Thalamus,sub01,18,-0.1262035689494357
Thalamus,sub01,19,-0.14648127359785376
Thalamus,sub01,20,0.07175973216526602
Thalamus,sub01,21,0.3218775990795758
Thalamus,sub01,22,-0.3504982774246102
Thalamus,sub01,23,-0.31274590399251856
Thalamus,sub01,24,-0.08369311546416784
Thalamus,sub01,25,-0.1468516403362409
Thalamus,sub01,26,0.261378110258626
Thalamus,sub01,27,0.10203111347100784
Thalamus,sub01,28,-0.0876104331163918
Thalamus,sub01,29,-0.14803889875732107
Thalamus,sub01,30,-0.3643050769557957
Thalamus,sub01,31,-0.40543664724267325
Thalamus,sub01,32,-0.24455182588048535
Thalamus,sub01,33,-0.24135143883148272
Thalamus,sub01,34,-0.14781614019953146
Thalamus,sub01,35,-0.35394561676348363
Thalamus,sub01,36,-0.719034927626242
